# Swedish Computer Shops Database
# Generated: 2026-04-10
# License: CC-BY-4.0
# Attribution: Contains data from Bolagsverket and SCB, licensed under CC-BY-4.0
#   as EU High Value Datasets.
# Sources:
#   SCB bulk file: https://vardefulla-datamangder.bolagsverket.se/scb/scb_bulkfil.zip
#   Bolagsverket bulk file: https://vardefulla-datamangder.bolagsverket.se/bolagsverket/bolagsverket_bulkfil.zip
#   SCB Branschnyckeltal API (turnover estimates)
# Note: Sole traders excluded for privacy.
#   Turnover estimates are industry medians by SNI code, not company-specific.
#   Only active companies included. Headquarters and holding companies excluded.
org_number,company_name,legal_form,legal_form_description,registration_date,status,address,co_address,postal_code,city,municipality,county,primary_sni,primary_sni_description,all_sni_codes,all_sni_descriptions,business_description,match_method,match_confidence,b2c_b2b,shop_category,chain_group,chain_type,parent_company,ultimate_owner,classification_confidence,classification_method,matched_keyword,estimated_turnover_sek,turnover_source,turnover_year,data_source,extraction_date,data_license
165566198965,ANDERS BJÖRCK AB,AB,Aktiebolag,20011203.0,active,KLOSTERGATAN 52 C,,58223,LINKÖPING,,,47401,Retail: computers & peripherals,47401,Retail: computers & peripherals,,sni_code,high,B2C,Computer & Peripherals,Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket bulk files,2026-04-10,CC-BY-4.0
165560731944,ANDERSSONS RADIO I SANDVIKEN AKTIEBOLAG,AB,Aktiebolag,19720101.0,active,SMEDSGATAN 5 A,,81130,SANDVIKEN,,,47403,Retail: consumer electronics,47403,Retail: consumer electronics,,sni_code,high,B2C,Consumer Electronics,Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket bulk files,2026-04-10,CC-BY-4.0
165591318588,APPuru AB,AB,Aktiebolag,20171102.0,active,ENERGIGATAN 17 A,,43437,KUNGSBACKA,,,47401,Retail: computers & peripherals,47401,Retail: computers & peripherals,,sni_code,high,B2C,Computer & Peripherals,Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket bulk files,2026-04-10,CC-BY-4.0
165565821906,APRINA AB,AB,Aktiebolag,20000120.0,active,LILLA STRANDGATAN 19,WRAMFELT MARITIME AB,26129,LANDSKRONA,,,47401,Retail: computers & peripherals,"47401,47402",Retail: computers & peripherals; Retail: software,,sni_code,high,B2C,Computer & Peripherals,Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket bulk files,2026-04-10,CC-BY-4.0
165561309823,ARGO BILRADIO AKTIEBOLAG,AB,Aktiebolag,19720101.0,active,STALLARHOLMSVÄGEN 49,,12459,BANDHAGEN,,,47403,Retail: consumer electronics,47403,Retail: consumer electronics,,sni_code,high,B2C,Consumer Electronics,Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket bulk files,2026-04-10,CC-BY-4.0
165564186053,AROS MEDIATEKNIK AKTIEBOLAG,AB,Aktiebolag,19910219.0,active,TRAVERSGATAN 16 A,,72138,VÄSTERÅS,,,47403,Retail: consumer electronics,47403,Retail: consumer electronics,,sni_code,high,B2C,Consumer Electronics,Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket bulk files,2026-04-10,CC-BY-4.0
165565131348,ARTIC SOUND AKTIEBOLAG,AB,Aktiebolag,19950611.0,active,HÅGA 20  Hus E,,15297,SÖDERTÄLJE,,,47403,Retail: consumer electronics,47403,Retail: consumer electronics,,sni_code,high,B2C,Consumer Electronics,Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket bulk files,2026-04-10,CC-BY-4.0
165590562996,AS Sales Consulting AB,AB,Aktiebolag,20160331.0,active,JÄGERSROVÄGEN 151,,21375,MALMÖ,,,47402,Retail: software,"47402,70200",Retail: software; 70200,,sni_code,high,B2C,Software,Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket bulk files,2026-04-10,CC-BY-4.0
165595501999,ASTRAL DISPLAY AB,AB,Aktiebolag,20251024.0,active,KARLSGATAN 3,EMILY PRENTELL,73761,VIRSBO,,,47401,Retail: computers & peripherals,47401,Retail: computers & peripherals,,sni_code,high,B2C,Computer & Peripherals,Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket bulk files,2026-04-10,CC-BY-4.0
165566678719,ASUS NORDIC AB,AB,Aktiebolag,20041014.0,active,TORSHAMNSGATAN 35  6TR,,16440,KISTA,,,47401,Retail: computers & peripherals,47401,Retail: computers & peripherals,,sni_code,high,B2C,Computer & Peripherals,Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket bulk files,2026-04-10,CC-BY-4.0
